selector,model,n_features,training_accuracy_score,training_f1_score,training_precision_score,training_recall_score,test_accuracy_score,test_f1_score_average_weighted,test_precision_score_average_weighted,test_recall_score_average_weighted
GINI,RandomForestClassifier,399,0.9933054,0.9933044,0.9933035,0.9933054,0.9657829,0.9555702,0.9540012,0.9657829
GINI,RandomForestClassifier,300,0.9932673,0.9932659,0.9932646,0.9932673,0.9654756,0.9551842,0.9532258,0.9654756
GINI,RandomForestClassifier,200,0.9931402,0.9931389,0.9931375,0.9931402,0.9657419,0.9557233,0.9540241,0.9657419
GINI,RandomForestClassifier,150,0.9929243,0.9929213,0.9929186,0.9929243,0.9661312,0.9562138,0.9549815,0.9661312
GINI,RandomForestClassifier,100,0.9926067,0.9926058,0.9926049,0.9926067,0.9662132,0.9562945,0.9551731,0.9662132
GINI,RandomForestClassifier,75,0.9922002,0.9921955,0.9921914,0.9922002,0.9660288,0.9564940,0.9549543,0.9660288
GINI,RandomForestClassifier,50,0.9916540,0.9916467,0.9916407,0.9916540,0.9664590,0.9569106,0.9559020,0.9664590
GINI,RandomForestClassifier,10,0.9846926,0.9846550,0.9846272,0.9846926,0.9639593,0.9556836,0.9522269,0.9639593
GINI,RandomForestClassifier,5,0.9707952,0.9705856,0.9704549,0.9707952,0.9574847,0.9521410,0.9480150,0.9574847
GINI,SVC,399,0.8883511,0.8719041,0.8722466,0.8883511,0.9654551,0.9484862,0.9321035,0.9654551
GINI,SVC,300,0.8888847,0.8724039,0.8730113,0.8888847,0.9654141,0.9485467,0.9436539,0.9654141
GINI,SVC,200,0.8890498,0.8726497,0.8732599,0.8890498,0.9654141,0.9485467,0.9436539,0.9654141
GINI,SVC,150,0.8892149,0.8727918,0.8734962,0.8892149,0.9654141,0.9485467,0.9436539,0.9654141
GINI,SVC,100,0.8886941,0.8738111,0.8730705,0.8886941,0.9654346,0.9485569,0.9459576,0.9654346
GINI,SVC,75,0.8887068,0.8716130,0.8726912,0.8887068,0.9654346,0.9485165,0.9436362,0.9654346
GINI,SVC,50,0.8886433,0.8710272,0.8725705,0.8886433,0.9654551,0.9485268,0.9493944,0.9654551
GINI,SVC,10,0.8867505,0.8696249,0.8698205,0.8867505,0.9654551,0.9484862,0.9321035,0.9654551
GINI,SVC,5,0.8736662,0.8536451,0.8498814,0.8736662,0.9543089,0.9442580,0.9351486,0.9543089
GINI,GaussianNB,399,0.4342861,0.4942338,0.8643176,0.4342861,0.5219440,0.6557564,0.9453766,0.5219440
GINI,GaussianNB,300,0.4889228,0.5558108,0.8540929,0.4889228,0.6285293,0.7435837,0.9382730,0.6285293
GINI,GaussianNB,200,0.6723704,0.7245304,0.8583743,0.6723704,0.8763472,0.9058764,0.9417312,0.8763472
GINI,GaussianNB,150,0.8261433,0.8398533,0.8610804,0.8261433,0.8901569,0.9133782,0.9406433,0.8901569
GINI,GaussianNB,100,0.8412983,0.8487788,0.8585869,0.8412983,0.8869606,0.9118692,0.9415867,0.8869606
GINI,GaussianNB,75,0.8397231,0.8471823,0.8568841,0.8397231,0.8871040,0.9118000,0.9410899,0.8871040
GINI,GaussianNB,50,0.8301067,0.8293719,0.8286508,0.8301067,0.8880056,0.9124478,0.9415472,0.8880056
GINI,GaussianNB,10,0.8332825,0.8417009,0.8527335,0.8332825,0.9562554,0.9457911,0.9368173,0.9562554
GINI,GaussianNB,5,0.8276550,0.8313764,0.8354850,0.8276550,0.9182682,0.9268969,0.9360023,0.9182682
GINI,MultinomialNB,399,0.7437754,0.7801595,0.8559668,0.7437754,0.9654551,0.9484862,0.9321035,0.9654551
GINI,MultinomialNB,300,0.8151423,0.8299586,0.8522330,0.8151423,0.9654756,0.9486179,0.9528864,0.9654756
GINI,MultinomialNB,200,0.8243902,0.8359982,0.8523641,0.8243902,0.9654551,0.9485672,0.9494128,0.9654551
